title,genres,keywords,cast,director,popularity
Avatar,"action, adventure, fantasy, science fiction","culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind soul, 3d","sam worthington, zoe saldana, sigourney weaver, stephen lang, michelle rodriguez, giovanni ribisi, joel david moore, cch pounder, wes studi, laz alonso, dileep rao, matt gerald, sean anthony moran, jason whyte, scott lawrence, kelly kilgour, james patrick pitt, sean patrick murphy, peter dillon, kevin dorman, kelson henderson, david van horn, jacob tomuri, michael blain-rozgay, jon curry, luke hawker, woody schultz, peter mensah, sonia yee, jahnel curfman, ilram choi, kyla warren, lisa roumain, debra wilson, chris mala, taylor kibby, jodie landau, julie lamm, cullen b. madden, joseph brady madden, frankie torres, austin wilson, sara wilson, tamica washington-miller, lucy briant, nathan meister, gerry blair, matthew chamberlain, paul yates, wray wilson, james gaylyn, melvin leno clark iii, carvon futrell, brandon jelkes, micah moch, hanniyah muhammad, christopher nolen, christa oliver, april marie thomas, bravita a. threatt, colin bleasdale, mike bodnar, matt clayton, nicole dionne, jamie harrison, allan henry, anthony ingruber, ashley jeffery, dean knowsley, joseph mika-hunt, terry notary, kai pantano, logan pithyou, stuart pollock, raja, gareth ruck, rhian sheehan, t. j. storm, jodie taylor, alicia vela-bailey, richard whiteside, nikie zambo, julene renee",james cameron,150.437577
Pirates of the Caribbean: At World's End,"adventure, fantasy, action","ocean, drug abuse, exotic island, east india trading company, love one's life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler, aftercreditsstinger","johnny depp, orlando bloom, keira knightley, stellan skarsgård, chow yun-fat, bill nighy, geoffrey rush, jack davenport, kevin mcnally, tom hollander, naomie harris, jonathan pryce, keith richards, lee arenberg, mackenzie crook, greg ellis, david bailie, martin klebba, david schofield, lauren maher, vanessa branch, angus barnett, giles new, reggie lee, dominic scott kay, takayo fischer, david meunier, ho-kwan tse, andy beckwith, peter donald badalamenti ii, christopher s. capp, keith richards, hakeem kae-kazim, ghassan massoud",gore verbinski,139.082615
Spectre,"action, adventure, crime","spy, based novel, secret agent, sequel, mi6, british secret service, united kingdom","daniel craig, christoph waltz, léa seydoux, ralph fiennes, monica bellucci, ben whishaw, naomie harris, dave bautista, andrew scott, rory kinnear, jesper christensen, alessandro cremona, stephanie sigman, tenoch huerta, adriana paz, domenico fortunato, marco zingaro, stefano elfi diclaudia, ian bonar, tam williams, richard banham, pip carter, simon lenagan, alessandro bressanello, marc zinga, brigitte millar, adel bencherif, gediminas adomaitis, peppe lanzetta, francesco arca, matteo taranto, emilio aniba, benito sagredo, dai tabuchi, george lasha, sargon yelda, andy cheung, erick hayden, oleg mirochnikov, antonio salines, miloud mourad benamara, gido schimanski, nigel barber, patrice naiambana, stephane cornicard, gary fannin, sadao ueda, phillip law, wai wong, joseph balderrama, eiji mihara, junichi kajioka, victor schefé, harald windisch, tristan matthiae, detlef bothe, bodo friesecke, wilhem iben, noemi krausz, noah saavedra, francis attakpah, michael glantschnig, marlon boess, marie wohlmuth, lili epply, konstantin gerlach, lara parmiani, umit ulgen, amra mallassi, ziad abaza, walid mumuni, derek horsham, nari blair-mangat, michael white, adam mcgrady, nader dernaika, pezhmaan alinia, judi dench, neve gachev, karl farrer, kim adis, maurisa selene coleman, matija mondi matović",sam mendes,107.376788
The Dark Knight Rises,"action, crime, drama, thriller","dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman","christian bale, michael caine, gary oldman, anne hathaway, tom hardy, marion cotillard, joseph gordon-levitt, morgan freeman, cillian murphy, juno temple, liam neeson, matthew modine, alon aboutboul, ben mendelsohn, nestor carbonell, josh pence, tom conti, joey king, warren brown, daniel sunjata, sam kennard, aliash tepina, nick julian, miranda nolan, claire julien, aidan gillen, burn gorman, brett cullen, reggie lee, joseph lyle taylor, chris ellis, duane henry, james harvey ward, gonzalo menendez, cameron jack, lex daniel, tyler dean flores, thomas lennon, trevor white, rob brown, fredric lehne, courtney munch, chris hill, travis guba, jay benedict, will estes, david dayan fisher, glen powell, russ fega, andres perez-molina, brent briscoe, john nolan, oliver cotton, mark killeen, sarah goldberg, john macmillan, robert wisdom, ronnie gene blevins, john hollingworth, ian bohen, uri gavriel, noel gugliemi, hector atreyu ruiz, patrick cox, aramis knight, josh stewart, william devane, david gyasi, patrick jordan, joshua elijah reese, desmond harrington, mychael bates, tomas arana, peter holden, david monahan, jillian armenante, aja evans, aldous davidson, wade williams, jake canuso, massi furlan, christopher judge, patrick leahy, todd gearhart, marc abbink, isiah adams, charlie alejandro, robert arensen, grant babbitt, fileena bahris, rick bolander, kyle patrick brennan, scott churchson, bill cowher, graham curry, stephanie domini ehlert, john farrer, frank fata, christopher bryan gomez, vito grassi, michael wren gucciardo, sam harris, ed heavey, john w. iwanonkiw, cindy jackson, daniel jordano, william kania, tiffany kemp, sun jae kim, hrvoje klecz, alex kruz, tyler la marr, lejon, paul jude letersky, joe lipari, silvia lombardo, jorge mardel, cale mcconnell, david dale mccue, tiffany sander mckenzie, allen merritt, olan montgomery, alex moore, shane nolan, jackson nunn, joseph o'brien, michael papajohn, salomon passariello, kyle david pierce, troy polamalu, michael power, james rawlings, kirsten roeters, ben roethlisberger, mark roman, anthony j. sacco, eric salazar, emily schooley, thomas tull, chris vaina, vincent van ommen, michelle vezzani, barbara vincent, justin michael woods, jason yee, maria zambrana, john zion, alex ziwak, tommy bayiokos, matthew gooley, jeff moffitt, mark falvo, diogo hausen, gary sievers, orion mccabe, london may, james quinn, daniel newman",christopher nolan,112.31295
John Carter,"action, adventure, science fiction","based novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword planet, 19th century, 3d","taylor kitsch, lynn collins, samantha morton, willem dafoe, thomas haden church, mark strong, ciarán hinds, dominic west, james purefoy, bryan cranston, polly walker, daryl sabara, arkie reece, davood ghadami, pippa nixon, james embree, philip philmar, emily tierney, edmund kente, nicholas woodeson, kyle agnew, don stark, josh daugherty, jared cyr, christopher goodman, amanda clayton, joseph billingiere",andrew stanton,43.926995
Spider-Man 3,"fantasy, action, adventure","dual identity, amnesia, sandstorm, love one's life, forgiveness, spider, wretch, death friend, egomania, sand, narcism, hostility, marvel comic, sequel, superhero, revenge","tobey maguire, kirsten dunst, james franco, thomas haden church, topher grace, bryce dallas howard, rosemary harris, james cromwell, j.k. simmons, theresa russell, dylan baker, bill nunn, elizabeth banks, ted raimi, perla haney-jardine, willem dafoe, cliff robertson, elya baskin, mageina tovah, michael papajohn, joe manganiello, stan lee, bruce campbell, christopher young, grant curtis, daniel gillies, john paxton, becky ann baker, steve valentine, hal fishman, lucy gordon, toni wynne, andre b. blake, tim maculan, marc vann, joe bays, gregg daniel, rogelio t. ramos, timothy patrick quill, kathryn bryding, joe virzi, bill e. rogers, michael alexander, april parker-jones, edward padilla, robert curtis brown, paul terrell clayton, carolyn neff, christina cindrich, sonya maddox, derrick 'phoenix' thomas, jessi collins, michael mclaughlin, anne gartlan, emilio rivera, keith woulard, reynaldo gallegos, jim coope, dean edwards, margaret laney, aimee miles, tanya bond, mark kubr, tony besson, ramon adams, a.j. adelman, angelis alexandris, dawn marie anderson, frank anello, anya avaeva, david backus, tiffany l. baker, marc c. cancassi, sujeilee candele, michael ciesla, irina costa, john crann, crystal marie denha, amy v. dewhurst, paul edney, natalie fabry, keith fausnaught, amanda florian, brianna leann florian, tiffany ashley florian, shaun patrick flynn, logan fry, kevin fung, tony galtieri, chuck gerena, brian hopson, claude jay, julie jei, andrew james jones, natalie jones, christopher jude, brittany krall, alyssa lakota, tia latrell, linda lee, pierangeli llinas, bernadette lords, sandrine marlier, laura mcdavid, natalie mcneil, daniel mignault, martha millan, michele-nanette miller, claudia katz minnick, robert myers, joseph o'brien, jen oda, anjelia pelay, nick poltoranin, vanessa reseland, la rivers, bria roberts, luis rosa, vanessa ross, brenna roth, shade rupe, arick salmea, eric shackelford, daniel shafer, abbey skinner, kristin somo, jennifer sparks, christopher stadulis, jimmy star, arne starr, liam stone, tajna tanovic, aija terauda, brigid turner, evelyn vaccaro, nick vlassopoulos, sincerely a. ward, silq webster, graig f. weich, fredrick weiss, jennifer weston, trenton willey, ray wineteer",sam raimi,115.699814
Tangled,"animation, family","hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based fairy tale, duringcreditsstinger, healing gift, animal sidekick","zachary levi, mandy moore, donna murphy, ron perlman, m.c. gainey, jeffrey tambor, brad garrett, paul f. tompkins, richard kiel, delaney rose stein, nathan greno, byron howard, tim mertens","byron howard, nathan greno",48.681969
Avengers: Age of Ultron,"action, adventure, science fiction","marvel comic, sequel, superhero, based comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d","robert downey jr., chris hemsworth, mark ruffalo, chris evans, scarlett johansson, jeremy renner, james spader, samuel l. jackson, don cheadle, aaron taylor-johnson, elizabeth olsen, paul bettany, cobie smulders, anthony mackie, hayley atwell, idris elba, linda cardellini, stellan skarsgård, claudia kim, thomas kretschmann, andy serkis, julie delpy, stan lee, henry goodman, chris luca, brian schaeffer, dominique provost-chalkley, isaac andrews, gareth kieran jones, chan woo lim, minhee yeo, bentley kalu, julian bleach, christopher beasley, vuyo dabula, nondumiso tembe, kabelo thai, lele leowaba, mandla gaduka, harriet manamela, beulah hashe, musca kumalo, mathapelo september, antony acheampong, chioma anyanwu, ben sakamoto, imogen poynton, isabella poynton, ingvild deila, sunny yeo, namju go, mina kweon, earl t. kim, arthur lee, verity hewlett, michael matovski, alma noce, riccardo richetta, constanza ruff, monty mclaren-clark, julia krynke, tony christensen, ian kay, barry aird, aaron himelstein, kerry condon, jaiden stafford, dilyana bouklieva, josh brolin, joti nagra, nick w. nicholson, daniel westwood",joss whedon,134.279229
Harry Potter and the Half-Blood Prince,"adventure, fantasy, family","witch, magic, broom, school witchcraft, wizardry, apparition, teenage crush, werewolf","daniel radcliffe, rupert grint, emma watson, tom felton, michael gambon, jim broadbent, helena bonham carter, robbie coltrane, maggie smith, alan rickman, timothy spall, david thewlis, julie walters, matthew lewis, evanna lynch, bonnie wright, oliver phelps, james phelps, mark williams, warwick davis, natalia tena, katie leung, dave legeno, geraldine somerville, helen mccrory, freddie stroma, david bradley, frank dillane, hero fiennes-tiffin, gemma jones, afshan azad, shefali chowdhury, georgina leonidas, devon murray, anna shaffer, josh herdman, jamie waylett, scarlett byrne, jessie cave, louis cordice, alfie enoch, robert knox, william melling, paul ritter, isabella laughland, ralph ineson, suzanne toase, rod hunt, elarica gallacher",david yates,98.885637
Batman v Superman: Dawn of Justice,"action, adventure, fantasy","dc comics, vigilante, superhero, based comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe","ben affleck, henry cavill, gal gadot, amy adams, jesse eisenberg, diane lane, jeremy irons, laurence fishburne, holly hunter, scoot mcnairy, callan mulvey, tao okamoto, jena malone, brandon spink, lauren cohan, hugh maguire, michael cassidy, alan d. purwin, dan amboyer, rebecca buller, harry lennix, christina wren, jade chynoweth, chad krowchuk, kevin costner, ezra miller, patrick wilson, michael shannon, charlie rose, vikram gandhi, andrew sullivan, neil degrasse tyson, jon stewart, soledad o'brien, erika r. erickson, dana bash, nancy grace, anderson cooper, brooke baldwin, carla gugino, jason momoa, joe morton, ray fisher, joseph cranford, emily peterson, jeffrey dean morgan, sammi rotibi, hanna dworkin, tiffany l. addison, owais ahmed, anish jethmalani, tiffany bedwell, natalee arteaga, keith d. gallagher, jeff dumas, miriam lee, alicia regan, stephanie koenig, ripley sobo, richard burden, julius tennon, wunmi mosaku, dennis north, kiff vandenheuvel, mason heidger, ahney her, kristine cabanban, sebastian sozzi, kent shocknek, ralph lister, sammy a. publes, jay r. adams, david midura, jay towers, michael ellison, kirill ostapenko, rashontae wawrzyniak, tom luginbill, dave pasch, danny mooney , henry frost iii, nicole forester, debbie stabenow, milica govich , john lepard, sandra love aldridge, graham w.j. beal, henri franklin, jonathan west, t.j. martinelli, chris newman, lulu dahl, sam logan khaleghi, anne marie damman, connie craig, henrietta hermelin, patrick leahy, albert valladares, david paris, abigail kuklis, greg violand, tiren jhames, steve jasgur, jonathan stanley, jesse nagy, duvale murchison, thomas j. fentress, coburn goss, jeff hanlin, gary a. hecker, robin atkin downes, issac ryan brown, barton bund, bailey chase, patrick o'connor cronin, sonja crosby, c.t. fletcher, ahman green, diana gaitirira, jalene mack, esodie geiger, nene nwoko, scott edward logan, marcus goddard, cruz gonzalez-cadel, alma martinez, sal lopez, marcel shihadeh, theo bongani ndyalvane, satori shakoor, ele bardha, inder kumar, brandon bautista, laura atwood, debbie scaletta, david leach, gordon michaels, brian boland, taras los, jason hughley, sidi henderson, meighan gerachis, nicole santini, axel harney, wayne e. brown, dante briggins, shannon garnett, lynch r. travis, carmen gangale, joe cipriano, will blagrove, marcelo bem",zack snyder,155.790452
